jurisdiction,year,month,date,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,day_of_highest_count,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
San Joaquin Sheriff's Department,2003,april,2003-04-01,San Joaquin County,06,077,06077,606,93,507,86,1292,619,365,984,80,228,308,2003-04-01,1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,3,0,2394,908,116,0,NA,NA,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2003,april,2003-04-01,San Luis Obispo County,06,079,06079,146,26,228,34,434,103,104,207,69,158,227,2003-04-05,469,165,316,91,42,1800,404,14,61,34,5,NA,NA,NA,NA,13,1,1131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2003,april,2003-04-01,San Mateo County,06,081,06081,484,45,437,84,1050,304,216,520,225,305,530,2003-04-27,1100,146,67,95,6,1505,295,41,80,15,15,3,6,35,63,147,3,1557,61,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2003,april,2003-04-01,Santa Barbara County,06,083,06083,447,76,321,47,891,345,184,529,178,184,362,2003-04-27,928,76,43,97,54,178,423,40,77,29,NA,NA,NA,NA,NA,NA,0,1434,11,130,0,NA,NA,NA,NA,NA,NA,NA
Santa Clara Probation Department,2003,april,2003-04-01,Santa Clara County,06,085,06085,0,0,159,38,197,NA,177,177,NA,20,20,2003-04-22,210,0,0,10,0,0,0,16,1,0,0,NA,0,NA,0,0,0,63,0,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2003,april,2003-04-01,Santa Clara County,06,085,06085,2431,315,1052,141,3939,2412,778,3190,334,415,749,2003-04-29,4034,431,2889,551,20,13952,1823,201,240,103,NA,NA,NA,NA,NA,14,2,4284,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2003,april,2003-04-01,Santa Cruz County,06,087,06087,285,34,257,33,609,115,104,219,204,186,390,2003-04-20,620,84,24,59,15,347,449,64,30,9,5,NA,NA,NA,0,2,1,1250,0,0,0,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2003,april,2003-04-01,Shasta County,06,089,06089,218,30,81,20,349,131,55,186,117,46,163,2003-04-07,372,153,NA,40,2,NA,366,10,86,1,1,0,0,0,0,13,0,885,19,19,0,NA,NA,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2003,april,2003-04-01,Sierra County,06,091,06091,3,1,1,0,5,3,1,4,1,0,1,2003-04-01,10,0,0,0,0,2,2,0,1,0,0,3,NA,0,0,0,0,23,0,0,0,NA,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2003,april,2003-04-01,Siskiyou County,06,093,06093,62,7,26,3,98,49,17,66,20,12,32,2003-04-28,107,26,8,26,1,260,26,3,9,3,0,0,0,0,0,0,0,245,38,5,0,NA,NA,NA,NA,NA,NA,NA
