jurisdiction,year,month,date,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,day_of_highest_count,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Tuolumne Sheriff's Department,2008,september,2008-09-01,Tuolumne County,06,109,06109,64,17,48,9,138,63,38,101,17,20,37,2008-09-23,142,11,11,11,0,116,22,1,12,0,12,0,0,0,0,5,0,391,0,40,0,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2008,september,2008-09-01,Ventura County,06,111,06111,1007,152,416,86,1661,1007,317,1324,152,185,337,2008-09-28,1735,87,182,124,0,1191,297,41,147,NA,0,NA,NA,NA,0,63,35,2487,0,401,0,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2008,september,2008-09-01,Ventura County,06,111,06111,0,0,86,27,113,NA,70,70,NA,43,43,2008-09-11,121,0,0,13,0,0,0,6,2,0,0,0,NA,NA,0,0,0,53,0,0,0,NA,NA,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2008,september,2008-09-01,Yolo County,06,113,06113,295,40,80,14,429,316,84,400,4,25,29,2008-09-27,449,61,53,49,1,460,68,0,35,3,2,2,3,12,0,16,0,853,0,0,0,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2008,september,2008-09-01,Yuba County,06,115,06115,309,61,56,13,439,322,24,346,48,45,93,2008-09-11,446,75,42,33,0,784,177,14,28,1,0,0,194,8,1,24,0,920,0,0,0,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2008,august,2008-08-01,Alameda County,06,001,06001,3253,301,763,120,4437,3327,665,3992,227,218,445,2008-08-31,4590,53,238,640,98,18900,1298,43,140,17,60,102,288,771,10,42,5,6477,0,0,0,NA,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2008,august,2008-08-01,Amador County,06,005,06005,33,9,37,10,89,33,27,60,9,20,29,2008-08-11,100,10,6,10,0,184,26,13,4,0,6.03,0,0,0,0,4.83,1,164,0,23,0,NA,NA,NA,NA,NA,NA,NA
Butte Sheriff's Department,2008,august,2008-08-01,Butte County,06,007,06007,266,48,139,38,491,289,117,406,25,60,85,2008-08-02,517,146,104,53,0,882,768,7,81,0,8,0,0,0,0,22,1,1193,13,2,0,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2008,august,2008-08-01,Calaveras County,06,009,06009,43,6,26,1,76,46,26,72,3,1,4,2008-08-12,84,4,2,4,0,127,23,1,5,0,2,0,0,0,0,8,0,209,11,21,0,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2008,august,2008-08-01,Colusa County,06,011,06011,26,3,15,3,47,22,6,28,8,11,19,2008-08-05,54,5,4,5,0,52,49,0,3,0,2,0,0,0,0,6,0,116,0,0,0,NA,NA,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2008,august,2008-08-01,Contra Costa County,06,013,06013,876,106,411,44,1437,798,510,1308,79,50,129,2008-08-11,1640,117,203,196,53,749,278,39,160,64,21,0,0,0,0,5,3,2408,0,0,0,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2008,august,2008-08-01,Del Norte County,06,015,06015,74,7,41,15,137,67,26,93,13,31,44,2008-08-21,147,1,3,23,0,289,3,6,0,0,1,0,0,28,0,3,0,294,0,0,0,NA,NA,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2008,august,2008-08-01,El Dorado County,06,017,06017,167,27,141,23,358,190,137,327,9,22,31,2008-08-17,373,46,NA,34,NA,270,122,19,29,0,2,0,1,0,3,6,0,703,174,24,1,NA,NA,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2008,august,2008-08-01,Fresno County,06,019,06019,1938,233,778,167,3116,2291,242,2533,165,418,583,2008-08-25,3395,2902,277,214,56,8536,NA,138,97,31,126,0,420,114,0,34,6,4113,0,0,0,NA,NA,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2008,august,2008-08-01,Glenn County,06,021,06021,60,9,23,5,97,54,13,67,15,15,30,2008-08-01,113,23,9,23,0,141,49,6,8,0,1,0,0,0,0,0,0,250,0,0,0,NA,NA,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2008,august,2008-08-01,Humboldt County,06,023,06023,186,38,94,15,333,171,64,235,53,45,98,2008-08-03,356,113,118,76,0,186,300,17,89,5,5,NA,NA,NA,NA,13,0,920,0,1,0,NA,NA,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2008,august,2008-08-01,Imperial County,06,025,06025,313,48,121,15,497,220,100,320,141,36,177,2008-08-31,537,52,61,6,3,458,114,26,28,13,0,0,217,13,0,34,2,890,0,0,0,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2008,august,2008-08-01,Inyo County,06,027,06027,34,7,35,8,84,27,15,42,14,28,42,2008-08-01,96,0,0,4,0,111,15,4,5,0,0,0,0,0,0,0,0,101,0,0,0,NA,NA,NA,NA,NA,NA,NA
Kern Sheriff's Department,2008,august,2008-08-01,Kern County,06,029,06029,1633,217,350,116,2316,1673,240,1913,226,177,403,2008-08-11,2363,338,223,242,61,16368,1550,180,204,17,12,0,129,113,0,115,2,3441,0,553,0,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2008,august,2008-08-01,Kings County,06,031,06031,195,27,107,30,359,208,88,296,14,49,63,2008-08-25,387,43,28,50,0,192,50,0,32,0,0,0,0,0,NA,NA,4,676,NA,91,0,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2008,august,2008-08-01,Lake County,06,033,06033,121,17,65,19,222,115,41,156,23,43,66,2008-08-06,236,44,10,44,0,467,405,14,18,0,0,0,0,0,0,3,0,361,0,0,0,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2008,august,2008-08-01,Lassen County,06,035,06035,35,8,32,12,87,30,12,42,13,32,45,2008-08-03,88,NA,NA,NA,NA,7.48,3.3499999999999996,10.12,5.81,0,0,0,0,0,0,1.5,0,177,0,0,0,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2008,august,2008-08-01,Los Angeles County,06,037,06037,11903,1555,5235,645,19338,12495,4464,16959,963,1416,2379,2008-08-27,20140,2314,1303,2138,2262,16061,11162,509,568,140,468,0,987,0,0,718,26,14307,548,3972,2,NA,NA,NA,NA,NA,NA,NA
Madera Corrections Department,2008,august,2008-08-01,Madera County,06,039,06039,252,39,108,20,419,295,50,345,65,9,74,2008-08-26,441,109,54,36,0,628,628,7,40,0,43,0,0,65,0,28,2,637,0,0,0,NA,NA,NA,NA,NA,NA,NA
Marin Sheriff's Department,2008,august,2008-08-01,Marin County,06,041,06041,224,29,49,11,313,224,50,274,29,10,39,2008-08-11,328,NA,NA,NA,NA,329,459,1,45,42,11,0,4,0,0,18,2,747,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2008,august,2008-08-01,Mariposa County,06,043,06043,19,2,25,7,53,18,13,31,3,19,22,2008-08-04,59,7,1,7,0,46,25,7,0,0,0,0,0,0,0,0,0,108,0,2,0,NA,NA,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2008,august,2008-08-01,Mendocino County,06,045,06045,176,27,64,21,288,143,25,168,100,20,120,2008-08-13,319,118,76,66,NA,264,56,0,15,0,10,NA,NA,NA,NA,28,0,599,0,0,0,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2008,august,2008-08-01,Merced County,06,047,06047,496,62,187,15,760,532,175,707,26,27,53,2008-08-10,835,59,7,59,59,1485,295,6,33,0,3,0,0,50,0,16,3,1158,72,46,0,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2008,august,2008-08-01,Modoc County,06,049,06049,18,2,4,1,25,11,0,11,9,5,14,2008-08-03,30,0,0,1,0,6,6,0,0,0,1,0,0,1,0,1,0,54,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2008,august,2008-08-01,Mono County,06,051,06051,17,1,19,1,38,14,5,19,11,8,19,2008-08-02,45,0,0,0,0,9,9,0,1,0,0.4,0,0,0,0.25,1,0,66,0,0,0,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2008,august,2008-08-01,Monterey County,06,053,06053,770,91,215,35,1111,749,145,894,112,105,217,2008-08-31,1111,NA,NA,78,NA,962,795,62,91,13,29,NA,NA,NA,NA,NA,3,1176,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2008,august,2008-08-01,Napa County,06,055,06055,135,18,69,13,235,114,50,164,50,21,71,2008-08-11,250,31,NA,31,5,211,72,2,27,0,5,0,0,0,0,13,4,621,0,7,0,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2008,august,2008-08-01,Nevada County,06,057,06057,108,42,40,8,198,79,33,112,69,17,86,2028-08-30,204,38,13,29,0,318,23,13,23,2,0,NA,0,NA,0,NA,NA,522,0,0,0,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2008,august,2008-08-01,Orange County,06,059,06059,2939,391,2283,446,6059,2796,1642,4438,533,1088,1621,2008-08-02,6217,1525,1287,647,90,11238,3095,228,979,135,129,NA,NA,58,0,256,12,5436,464,0,1,NA,NA,NA,NA,NA,NA,NA
Santa Ana Police Department,2008,august,2008-08-01,Orange County,06,059,06059,388,56,4,1,449,430,4,434,15,0,15,2008-08-03,468,6,12,8,0,147,24,32,44,0,7,0,413,4,0,0,0,826,0,0,0,NA,NA,NA,NA,NA,NA,NA
Placer Sheriff's Department,2008,august,2008-08-01,Placer County,06,061,06061,334,47,180,36,597,333,128,461,27,109,136,2008-08-17,619,121,21,56,17,618,268,27,48,4,24,NA,NA,NA,1,11,0,971,206,162,0,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2008,august,2008-08-01,Plumas County,06,063,06063,18,1,19,3,41,12.709999999999999,14.68,27,6.1899999999999995,7.319999999999999,14,2008-08-30,47,1,18,6,0,94,1,0,1,0,3,0,NA,NA,1,4,0,163,0,0,0,NA,NA,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2008,august,2008-08-01,Riverside County,06,065,06065,2640,260,624,121,3645,1588,333,1921,1312,412,1724,2008-08-10,3701,1398,633,935,66,1936,1552,231,107,63,67,0,0,0,0,NA,0,5230,221,103,0,NA,NA,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2008,august,2008-08-01,Sacramento County,06,067,06067,2469,289,1617,261,4636,1792,1220,3012,966,658,1624,2008-08-31,4779,847,357,707,14,26046,3847,56,961,16,81,0,473,452,0,215,0,5687,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2008,august,2008-08-01,San Benito County,06,069,06069,75,7,37,8,127,66,19,85,16,26,42,2008-08-31,136,15,9,15,0,132,40,3,13,0,0,5,0,14,0,1,0,288,0,20,0,NA,NA,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2008,august,2008-08-01,San Bernardino County,06,071,06071,3586,564,1078,267,5495,2695,1017,3712,1455,328,1783,2008-08-31,5581,1117,237,652,73,4569,2108,190,576,30,89,NA,412,NA,0,107,5,6508,3429,1,0,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2008,august,2008-08-01,San Diego County,06,073,06073,2881,474,1535,335,5225,3077,1436,4513,278,434,712,2008-08-31,5411,1242,1312,1184,38,23693,5407,207,355,74,66,NA,NA,NA,NA,135,1,13151,949,814,0,NA,NA,NA,NA,NA,NA,NA
San Diego Work Furlough,2008,august,2008-08-01,San Diego County,06,073,06073,1,1,209,64,275,0,NA,0,0,NA,0,2008-08-14,285,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,92,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2008,august,2008-08-01,San Francisco County,06,075,06075,1335,164,338,71,1908,1466,400,1866,33,9,42,2008-08-04,1964,1066,415,211,111,9872,1540,111,311,61,31,NA,1,NA,NA,10,14,2687,0,0,0,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2008,august,2008-08-01,San Joaquin County,06,077,06077,754,96,575,117,1542,804,479,1283,46,213,259,2008-08-11,1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,0,13,0,3101,990,150,0,NA,NA,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2008,august,2008-08-01,San Luis Obispo County,06,079,06079,208,24,213,46,491,156,146,302,64,125,189,2008-08-28,527,191,324,114,41,1732,368,25,69,56,10,NA,NA,NA,0,11,8,1221,NA,97,0,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2008,august,2008-08-01,San Mateo County,06,081,06081,660,77,339,60,1136,307,249,556,227,353,580,2008-08-03,1184,281,96,115,4,1768,347,26,55,25,7,1,7,1,2,6,0,1780,0,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2008,august,2008-08-01,Santa Barbara County,06,083,06083,521,82,319,63,985,460,140,600,212,173,385,2008-08-04,993,113,73,208,59,308,326,39,73,34,NA,NA,NA,NA,NA,NA,1,1613,NA,179,0,NA,NA,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2008,august,2008-08-01,Santa Clara County,06,085,06085,2793,380,1300,214,4687,2685,977,3662,488,537,1025,2008-08-03,4807,144,4506,735,131,6675,1279,1279,267,37,NA,NA,NA,NA,NA,15,5,5052,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2008,august,2008-08-01,Santa Cruz County,06,087,06087,169,23,222,20,434,46,58,104,146,184,330,2008-08-03,485,103,39,75,37,753,196,45,20,10,4,NA,NA,NA,0,5,1,1363,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2008,august,2008-08-01,Shasta County,06,089,06089,204,36,74,14,328,216,48,264,24,40,64,2008-08-28,361,NA,NA,48,0,406,28,1,132,10,14,0,0,0,2,5,0,1176,106,68,0,NA,NA,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2008,august,2008-08-01,Sierra County,06,091,06091,3,1,0,0,4,1,0,1,3,0,3,2008-08-10,7,0,0,0,0,32,0,0,1,0,3,2,NA,0,0,1,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2008,august,2008-08-01,Siskiyou County,06,093,06093,68,5,12,4,89,66,5,71,11,7,18,2008-08-31,104,27,17,27,0,160,24,2,2,0,0,0,0,0,0,0,0,296,26,34,0,NA,NA,NA,NA,NA,NA,NA
Solano Sheriff's Department,2008,august,2008-08-01,Solano County,06,095,06095,648,113,187,42,990,713,202,915,47,28,75,2008-08-31,1030,NA,160,149,4,937,342,25,109,2.42,18,0,0,0,0,46,1,1704,286,0,0,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2008,august,2008-08-01,Sonoma County,06,097,06097,487,64,368,89,1008,444,226,670,110,228,338,2008-08-31,1043,219,182,193,68,817,347,14,58,11,15,NA,NA,NA,NA,9,1,1803,0,32,0,NA,NA,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2008,august,2008-08-01,Stanislaus County,06,099,06099,741,107,411,109,1368,796,414,1210,52,106,158,2008-08-11,1410,168,276,57,63,1632,383,12,114,0,16,NA,NA,NA,NA,62,1,2143,593,273,0,NA,NA,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2008,august,2008-08-01,Sutter County,06,101,06101,173,23,45,21,262,147,0,147,54,61,115,2008-08-24,339,28,10,28,0,447,149,23,10,3,3,0,0,0,0,19,0,583,0,0,0,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2008,august,2008-08-01,Tehama County,06,103,06103,72,10,71,15,168,NA,NA,0,NA,NA,0,2008-08-31,184,6,25,46,0,119,85,2,9,0,2,0,0,0,1,2,0,380,0,0,0,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2008,august,2008-08-01,Trinity County,06,105,06105,24,4,15,2,45,22,10,32,7,6,13,2008-08-26,49,0,0,14,0,56,56,3,3,NA,1,0,0,0,0,2,0,86,0,0,0,NA,NA,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2008,august,2008-08-01,Tulare County,06,107,06107,682,105,652,106,1545,551,462,1013,236,296,532,2008-08-05,1584,NA,NA,NA,NA,NA,NA,60,NA,4,0,0,0,94,0,38,0,2248,430,75,0,NA,NA,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2008,august,2008-08-01,Tuolumne County,06,109,06109,69,15,43,10,137,68,35,103,15,19,34,2008-08-11,142,15,16,15,0,150,22,1,12,0,12,0,0,0,0,2,1,403,5,47,0,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2008,august,2008-08-01,Ventura County,06,111,06111,1027,144,395,87,1653,1016,293,1309,157,187,344,2008-08-17,1723,91,172,130,0,1021,289,61,143,NA,0,NA,NA,NA,0,73,29,2565,0,416,0,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2008,august,2008-08-01,Ventura County,06,111,06111,0,0,93,23,116,NA,71,71,NA,45,45,2008-08-01,126,0,0,10,0,0,6,13,4,0,0,0,NA,NA,0,0,0,46,0,0,0,NA,NA,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2008,august,2008-08-01,Yolo County,06,113,06113,300,40,76,17,433,332,71,403,3,27,30,2008-08-25,450,60,54,49,0,460,71,4,32,3,2,3,3,20,0,14,0,860,0,0,0,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2008,august,2008-08-01,Yuba County,06,115,06115,299,55,51,17,422,306,23,329,48,45,93,2008-08-21,446,50,24,30,0,626,193,8,11,3,0,0,183,7,1,23,0,927,0,0,0,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2008,july,2008-07-01,Alameda County,06,001,06001,3188,286,766,132,4372,3255,672,3927,219,226,445,2008-07-27,4479,50,232,632,101,17087,1094,13,180,15,62,118,253,765,3,42,4,6258,0,0,0,NA,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2008,july,2008-07-01,Amador County,06,005,06005,38,9,34,12,93,36,28,64,11,18,29,2008-07-03,103,14,3,14,0,152,26,1,5,0,5.03,0,0,0,0,11.76,0,146,0,18,0,NA,NA,NA,NA,NA,NA,NA
Butte Sheriff's Department,2008,july,2008-07-01,Butte County,06,007,06007,269,54,135,32,490,297,102,399,26,65,91,2008-07-26,509,153,117,55,0,953,610,11,79,1,7,0,0,0,0,13,0,1094,3,5,0,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2008,july,2008-07-01,Calaveras County,06,009,06009,39,7,29,1,76,44,28,72,2,2,4,2008-07-19,89,7,4,7,0,120,26,0,8,0,2,0,0,0,0,5,0,181,19,18,0,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2008,july,2008-07-01,Colusa County,06,011,06011,26,1,17,0,44,21,6,27,6,11,17,2008-07-15,52,5,3,5,0,71,64,0,7,0,2,0,0,0,0,2,0,123,0,0,0,NA,NA,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2008,july,2008-07-01,Contra Costa County,06,013,06013,972,112,367,41,1492,987,371,1358,97,37,134,2008-07-30,1616,108,204,194,53,757,217,39,143,64,22,0,0,0,0,6,3,2283,0,0,0,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2008,july,2008-07-01,Del Norte County,06,015,06015,77,10,40,13,140,70,29,99,17,24,41,2008-07-28,150,2,6,35,0,316,3,7,2,0,1,0,0,31,0,2,0,246,0,0,0,NA,NA,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2008,july,2008-07-01,El Dorado County,06,017,06017,169,21,125,25,340,184,120,304,9,27,36,2008-07-27,366,33,NA,33,NA,274,109,0,22,0,3,0,0,0,4,4,0,647,169,5,1,NA,NA,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2008,july,2008-07-01,Fresno County,06,019,06019,1818,227,684,150,2879,2047,490,2537,220,122,342,2008-07-27,3138,2709,278,157,49,8288,NA,141,102,34,112,0,377,104,6,37,3,3958,0,0,0,NA,NA,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2008,july,2008-07-01,Glenn County,06,021,06021,63,8,24,6,101,55,11,66,15,20,35,2008-07-05,113,23,17,23,0,168,65,8,12,0,1,0,0,0,0,0,0,242,0,0,0,NA,NA,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2008,july,2008-07-01,Humboldt County,06,023,06023,196,29,89,13,327,174,60,234,51,42,93,2008-07-01,357,119,99,87,0,250,220,8,53,9,5,NA,NA,NA,NA,11,0,915,0,1,0,NA,NA,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2008,july,2008-07-01,Imperial County,06,025,06025,311,36,127,14,488,215,105,320,112,56,168,2008-07-14,518,47,59,13,2,375,112,10,19,7,0,0,235,13,0,52,2,826,0,0,0,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2008,july,2008-07-01,Inyo County,06,027,06027,34,4,33,11,82,29,18,47,9,26,35,2008-07-12,89,0,0,2,0,121,15,12,0,0,0,0,0,0,0,NA,0,98,37,0,0,NA,NA,NA,NA,NA,NA,NA
Kern Sheriff's Department,2008,july,2008-07-01,Kern County,06,029,06029,1596,218,328,112,2254,1620,221,1841,194,219,413,2008-07-29,2340,370,215,279,57,16678,1621,236,90,17,12,0,118,129,0,112,3,3396,0,659,0,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2008,july,2008-07-01,Kings County,06,031,06031,195,28,108,29,360,207,92,299,16,45,61,2008-07-11,384,62,54,43,0,190,44,0,23,0,0,0,0,0,NA,NA,0,725,NA,102,0,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2008,july,2008-07-01,Lake County,06,033,06033,114,21,72,22,229,115,44,159,20,50,70,2008-07-05,251,58,13,67,0,449,444,8,17,0,0,0,0,0,0,2,0,415,0,0,0,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2008,july,2008-07-01,Lassen County,06,035,06035,36,13,42,17,108,33,18,51,16,41,57,2008-07-15,110,NA,NA,NA,NA,9.1,4.07,12.31,12.31,0,0,0,0,0,0,1.2,0,149,0,0,0,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2008,july,2008-07-01,Los Angeles County,06,037,06037,11787,1675,5322,585,19369,12466,4408,16874,996,1499,2495,2008-07-09,20181,2314,1321,1936,2198,17417,12226,514,563,119,443,0,1024,0,0,627,31,14847,716,4126,2,NA,NA,NA,NA,NA,NA,NA
Madera Corrections Department,2008,july,2008-07-01,Madera County,06,039,06039,191,36,175,22,424,314,49,363,52,9,61,2008-07-08,451,81,23,35,0,429,429,8,59,1,41,0,0,55,0,24,5,557,0,0,0,NA,NA,NA,NA,NA,NA,NA
Marin Sheriff's Department,2008,july,2008-07-01,Marin County,06,041,06041,225,33,57,16,331,227,60,287,31,13,44,2008-07-01,355,NA,NA,NA,NA,303,614,16,97,49,12,0,3,0,0,25,2,721,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2008,july,2008-07-01,Mariposa County,06,043,06043,25,3,22,4,54,22,13,35,6,13,19,2008-07-13,57,7,3,13,0,72,32,1,2,0,0,0,0,0,0,0,0,83,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2008,july,2008-07-01,Mendocino County,06,045,06045,154,24,61,18,257,145,20,165,70,22,92,2008-07-26,285,116,69,51,NA,348,120,11,25,0,8,NA,NA,NA,NA,19,0,522,0,0,0,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2008,july,2008-07-01,Merced County,06,047,06047,492,62,192,17,763,529,185,714,25,24,49,2008-07-07,821,65,18,65,65,1346,256,7,20,0,3,0,0,50,0,14,4,1112,69,41,0,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2008,july,2008-07-01,Modoc County,06,049,06049,17,2,5,1,25,10,1,11,9,5,14,2008-07-31,32,0,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,37,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2008,july,2008-07-01,Mono County,06,051,06051,16,2,17,1,36,13,4,17,11,8,19,2008-07-01,44,0,0,0,0,9,9,0,1,0,0.5,0,0,0,1,2,0,67,0,0,0,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2008,july,2008-07-01,Monterey County,06,053,06053,791,89,200,39,1119,766,139,905,114,100,214,2008-07-27,1119,NA,NA,124,NA,859,774,79,112,6,49,NA,NA,NA,NA,NA,1,1283,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2008,july,2008-07-01,Napa County,06,055,06055,140,18,70,13,241,104,15,119,68,54,122,2008-07-08,259,61,NA,61,5,236,55,3,8,0,4,0,0,0,0,5,0,433,0,17,0,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2008,july,2008-07-01,Nevada County,06,057,06057,113,39,47,9,208,88,36,124,64,20,84,2008-07-04,216,39,13,25,0,327,44,8,27,2,0,NA,0,NA,0,NA,NA,447,0,0,0,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2008,july,2008-07-01,Orange County,06,059,06059,2917,389,2259,458,6023,2781,1619,4400,526,1097,1623,2008-07-26,6169,1543,1455,659,90,13517,3218,257,1000,136,123,NA,NA,26,0,257,11,5623,466,0,0,NA,NA,NA,NA,NA,NA,NA
Santa Ana Police Department,2008,july,2008-07-01,Orange County,06,059,06059,403,57,4,1,465,448,4,452,13,0,13,2008-07-13,481,10,52,10,0,231,9,46,55,0,7,0,437,4,0,0,0,880,0,0,0,NA,NA,NA,NA,NA,NA,NA
Placer Sheriff's Department,2008,july,2008-07-01,Placer County,06,061,06061,324,45,179,36,584,326,125,451,26,107,133,2008-07-29,616,136,26,68,15,553,307,15,83,3,23,NA,NA,NA,1,9,0,1029,263,188,0,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2008,july,2008-07-01,Plumas County,06,063,06063,23,1,9,4,37,15,9,24,9,4,13,2008-07-19,44,2,18,NA,0,67,4,NA,0,0,4,0,NA,NA,0,3,0,187,0,0,0,NA,NA,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2008,july,2008-07-01,Riverside County,06,065,06065,2668,241,630,121,3660,1617,336,1953,1292,415,1707,2008-07-07,3782,1211,735,815,65,1503,1358,289,74,57,64,0,0,0,0,NA,0,5336,264,117,0,NA,NA,NA,NA,NA,NA,NA
