jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
San Francisco Sheriff's Department,2006,1,San Francisco County,06,075,06075,25,395673,88920,NA,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2006,1,San Joaquin County,06,077,06077,NA,NA,NA,15,60,16,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2006,1,San Luis Obispo County,06,079,06079,3,99202,66202,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2006,1,San Mateo County,06,081,06081,5,146822,86338,11.5,11,21,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2006,1,Santa Barbara County,06,083,06083,1,83500,57192,23,9,54,NA,NA,NA,NA,NA
Santa Clara Probation Department,2006,1,Santa Clara County,06,085,06085,0,NA,NA,153,NA,153,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2006,1,Santa Clara County,06,085,06085,4,679431,403567,112,135,124,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2006,1,Santa Cruz County,06,087,06087,2,106897,76820,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2006,1,Shasta County,06,089,06089,0,45804,23298,7.3,5.6,82.3,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2006,1,Sierra County,06,091,06091,0,1504,0,1,1,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2006,1,Siskiyou County,06,093,06093,0,NA,NA,28,13,21,NA,NA,NA,NA,NA
Solano Sheriff's Department,2006,1,Solano County,06,095,06095,4,101125,56815,20.4,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2006,1,Sonoma County,06,097,06097,14,115304,73924,23.4,4.9,56.8,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2006,1,Stanislaus County,06,099,06099,5,43536,26644,21,7,73,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2006,1,Sutter County,06,101,06101,0,57355,29611,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2006,1,Tehama County,06,103,06103,0,45406,15000,15.2,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2006,1,Trinity County,06,105,06105,2,34602,NA,16,7,43,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2006,1,Tulare County,06,107,06107,0,NA,NA,36.41,26.03,51.790000000000006,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2006,1,Tuolumne County,06,109,06109,1,3651,940,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2006,1,Ventura County,06,111,06111,2,112349,61095,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2006,1,Ventura County,06,111,06111,0,676,0,56,NA,56,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2006,1,Yolo County,06,113,06113,3,28734,19505,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2006,1,Yuba County,06,115,06115,3,45876,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2005,4,Alameda County,06,001,06001,6,802340,590237,29.08,23.779999999999998,63.02,NA,NA,NA,NA,NA
Amador Sheriff's Department,2005,4,Amador County,06,005,06005,0,2218,1232,41,14,87,NA,NA,NA,NA,NA
Butte Sheriff's Department,2005,4,Butte County,06,007,06007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2005,4,Calaveras County,06,009,06009,0,5224,3613,NA,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2005,4,Colusa County,06,011,06011,0,3805,801,17,5,25.5,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2005,4,Contra Costa County,06,013,06013,15,176243,87710,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2005,4,Del Norte County,06,015,06015,0,19358,12963,10.5,6.5,33,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2005,4,El Dorado County,06,017,06017,3,NA,NA,14.3,3.4,46.3,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2005,4,Fresno County,06,019,06019,18,NA,NA,25.95,20.2,81.27,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2005,4,Glenn County,06,021,06021,0,20356,4071,14,9,25,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2005,4,Humboldt County,06,023,06023,1,76722,61624,16.130000000000003,12.92,41.54,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2005,4,Imperial County,06,025,06025,3,9362,3664,NA,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2005,4,Inyo County,06,027,06027,0,17178,4748,34,31,45,NA,NA,NA,NA,NA
Kern Sheriff's Department,2005,4,Kern County,06,029,06029,2,147010,122367,21,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2005,4,Kings County,06,031,06031,0,21747,12672,NA,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2005,4,Lake County,06,033,06033,NA,22545,14945,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2005,4,Lassen County,06,035,06035,0,32000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2005,4,Los Angeles County,06,037,06037,67,3048284,1177305,45.92,52.36,45.42,NA,NA,NA,NA,NA
Madera Corrections Department,2005,4,Madera County,06,039,06039,1,95511,70664,25,6,54,NA,NA,NA,NA,NA
Marin Sheriff's Department,2005,4,Marin County,06,041,06041,0,44777,33036,18.6,11.75,45.6,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2005,4,Mariposa County,06,043,06043,0,2197,1890,16,14,18,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2005,4,Mendocino County,06,045,06045,0,19036,15443,19,10,51,NA,NA,NA,NA,NA
Merced Sheriff's Department,2005,4,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2005,4,Modoc County,06,049,06049,1,4986,NA,4.9,1.6,8.2,NA,NA,NA,NA,NA
Mono Sheriff's Department,2005,4,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2005,4,Monterey County,06,053,06053,2,22377,19615,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2005,4,Napa County,06,055,06055,0,NA,NA,NA,6.87,13,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2005,4,Nevada County,06,057,06057,NA,25257,18062,NA,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2005,4,Orange County,06,059,06059,20,905591,450023,41.6,1.3,36.1,NA,NA,NA,NA,NA
Santa Ana Police Department,2005,4,Orange County,06,059,06059,0,NA,NA,22,17,31,NA,NA,NA,NA,NA
Placer Sheriff's Department,2005,4,Placer County,06,061,06061,1,34219,11609,NA,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2005,4,Plumas County,06,063,06063,1,8948,5356,11.639999999999999,3.3899999999999997,19.439999999999998,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2005,4,Riverside County,06,065,06065,52,463956,314434,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2005,4,Sacramento County,06,067,06067,14,481606,383614,32.5,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2005,4,San Benito County,06,069,06069,0,2719,7022,NA,26,90,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2005,4,San Bernardino County,06,071,06071,4,599711,311277,51,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2005,4,San Diego County,06,073,06073,6,903549,483079,20.8,6,76,NA,NA,NA,NA,NA
San Diego Work Furlough,2005,4,San Diego County,06,073,06073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2005,4,San Francisco County,06,075,06075,21,287006,121000,NA,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2005,4,San Joaquin County,06,077,06077,NA,NA,NA,16,60,16,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2005,4,San Luis Obispo County,06,079,06079,1,84887,55697,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2005,4,San Mateo County,06,081,06081,5,154869,92980,10,8,21,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2005,4,Santa Barbara County,06,083,06083,3,94802,64559,23,11,53,NA,NA,NA,NA,NA
Santa Clara Probation Department,2005,4,Santa Clara County,06,085,06085,0,NA,NA,83,NA,83,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2005,4,Santa Clara County,06,085,06085,4,772954,442707,109,135,123,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2005,4,Santa Cruz County,06,087,06087,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2005,4,Shasta County,06,089,06089,1,46425,18416,22.5,24.8,244.9,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2005,4,Sierra County,06,091,06091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2005,4,Siskiyou County,06,093,06093,1,NA,NA,28,11,19,NA,NA,NA,NA,NA
Solano Sheriff's Department,2005,4,Solano County,06,095,06095,8,111586,68088,21.8,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2005,4,Sonoma County,06,097,06097,15,130296,89704,31.2,7.7,53.5,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2005,4,Stanislaus County,06,099,06099,4,35015,19295,23,6,80,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2005,4,Sutter County,06,101,06101,0,57355,29611,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2005,4,Tehama County,06,103,06103,1,50207,17000,14.6,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2005,4,Trinity County,06,105,06105,0,32295,NA,21,3,46,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2005,4,Tulare County,06,107,06107,0,NA,NA,34.94,25.01,52.28,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2005,4,Tuolumne County,06,109,06109,1,3667,2732,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2005,4,Ventura County,06,111,06111,0,89910,43179,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2005,4,Ventura County,06,111,06111,0,775,0,54,NA,54,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2005,4,Yolo County,06,113,06113,4,10127,5593,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2005,4,Yuba County,06,115,06115,4,52742,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2005,3,Alameda County,06,001,06001,6,832150,638250,29.06,24.05,63.01,NA,NA,NA,NA,NA
Amador Sheriff's Department,2005,3,Amador County,06,005,06005,0,3788,2200,30,13,72,NA,NA,NA,NA,NA
Butte Sheriff's Department,2005,3,Butte County,06,007,06007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2005,3,Calaveras County,06,009,06009,0,5890,2705,NA,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2005,3,Colusa County,06,011,06011,0,2324,375,25,3,35,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2005,3,Contra Costa County,06,013,06013,13,169026,87978,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2005,3,Del Norte County,06,015,06015,0,16213,9185,11,9,21,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2005,3,El Dorado County,06,017,06017,3,NA,NA,19,3,54,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2005,3,Fresno County,06,019,06019,14,NA,NA,25.35,20.17,81.24000000000001,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2005,3,Glenn County,06,021,06021,0,20044,2892,13,8,25,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2005,3,Humboldt County,06,023,06023,3,54149,38686,16.54,12.739999999999998,44.01,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2005,3,Imperial County,06,025,06025,2,18802,10545,NA,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2005,3,Inyo County,06,027,06027,0,9469,8209,26,21,45,NA,NA,NA,NA,NA
Kern Sheriff's Department,2005,3,Kern County,06,029,06029,5,265282,119482,19,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2005,3,Kings County,06,031,06031,1,23948,14993,NA,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2005,3,Lake County,06,033,06033,NA,13979,11141,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2005,3,Lassen County,06,035,06035,0,31000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2005,3,Los Angeles County,06,037,06037,106,2951033,1214772,44.32,38.78,44.720000000000006,NA,NA,NA,NA,NA
Madera Corrections Department,2005,3,Madera County,06,039,06039,0,88654,65400,28,7,55,NA,NA,NA,NA,NA
Marin Sheriff's Department,2005,3,Marin County,06,041,06041,0,47559,32834,16.4,8,44.3,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2005,3,Mariposa County,06,043,06043,0,11385,2462,14,14,14,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2005,3,Mendocino County,06,045,06045,0,11191,2406,17,12,34,NA,NA,NA,NA,NA
Merced Sheriff's Department,2005,3,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2005,3,Modoc County,06,049,06049,0,8889,NA,7,6.5,35,NA,NA,NA,NA,NA
Mono Sheriff's Department,2005,3,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2005,3,Monterey County,06,053,06053,2,46933,23343,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2005,3,Napa County,06,055,06055,1,NA,NA,NA,26,41,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2005,3,Nevada County,06,057,06057,NA,25372,15748,NA,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2005,3,Orange County,06,059,06059,7,733644,385307,34.7,1.2,40.9,NA,NA,NA,NA,NA
Santa Ana Police Department,2005,3,Orange County,06,059,06059,0,NA,NA,13,10,30,NA,NA,NA,NA,NA
Placer Sheriff's Department,2005,3,Placer County,06,061,06061,2,41765,15218,NA,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2005,3,Plumas County,06,063,06063,1,10897,5847,9.44,2.3899999999999997,20.21,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2005,3,Riverside County,06,065,06065,46,447207,297707,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2005,3,Sacramento County,06,067,06067,12,422790,309153,34.3,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2005,3,San Benito County,06,069,06069,1,7370,4834,NA,23,85,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2005,3,San Bernardino County,06,071,06071,8,599711,311277,42,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2005,3,San Diego County,06,073,06073,8,763960,421853,18.6,11,69.3,NA,NA,NA,NA,NA
San Diego Work Furlough,2005,3,San Diego County,06,073,06073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2005,3,San Francisco County,06,075,06075,19,366630,52300,NA,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2005,3,San Joaquin County,06,077,06077,NA,NA,NA,NA,113,62,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2005,3,San Luis Obispo County,06,079,06079,0,83213,59070,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2005,3,San Mateo County,06,081,06081,1,141130,77332,15,13,22,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2005,3,Santa Barbara County,06,083,06083,6,81149,55960,26,11,60,NA,NA,NA,NA,NA
Santa Clara Probation Department,2005,3,Santa Clara County,06,085,06085,0,NA,0,74.5,NA,74.5,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2005,3,Santa Clara County,06,085,06085,7,650052,412423,123,125,122,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2005,3,Santa Cruz County,06,087,06087,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2005,3,Shasta County,06,089,06089,4,51572,19286,20.5,13.5,217.8,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2005,3,Sierra County,06,091,06091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2005,3,Siskiyou County,06,093,06093,0,NA,NA,28,19,22,NA,NA,NA,NA,NA
Solano Sheriff's Department,2005,3,Solano County,06,095,06095,9,118689,77394,21.8,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2005,3,Sonoma County,06,097,06097,27,118393,87892,21.8,5.8,55.3,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2005,3,Stanislaus County,06,099,06099,5,38401,22838,17,4,45,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2005,3,Sutter County,06,101,06101,0,42899,11052,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2005,3,Tehama County,06,103,06103,0,58768,20000,14.6,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2005,3,Trinity County,06,105,06105,0,NA,NA,21,3,50,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2005,3,Tulare County,06,107,06107,0,NA,NA,40.77,24.1,63.879999999999995,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2005,3,Tuolumne County,06,109,06109,0,2624,1568,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2005,3,Ventura County,06,111,06111,4,90074,47659,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2005,3,Ventura County,06,111,06111,0,1106,0,59,NA,59,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2005,3,Yolo County,06,113,06113,NA,36296,23866,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2005,3,Yuba County,06,115,06115,9,52742,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2005,2,Alameda County,06,001,06001,6,801250,625420,31.06,22.68,63.05,NA,NA,NA,NA,NA
Oakland Police Department,2005,2,Alameda County,06,001,06001,0,3419,181,2,2,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2005,2,Amador County,06,005,06005,0,2522,1044,31,12,86,NA,NA,NA,NA,NA
Butte Sheriff's Department,2005,2,Butte County,06,007,06007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2005,2,Calaveras County,06,009,06009,0,4093,2712,NA,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2005,2,Colusa County,06,011,06011,0,1636,679,23,3,43,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2005,2,Contra Costa County,06,013,06013,15,132965,68286,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2005,2,Del Norte County,06,015,06015,0,18739,14256,9.18,6.5,32,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2005,2,El Dorado County,06,017,06017,1,NA,NA,15,2,52,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2005,2,Fresno County,06,019,06019,23,NA,NA,28.05,22.77,95.85,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2005,2,Glenn County,06,021,06021,0,25439,6266,15,10,24,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2005,2,Humboldt County,06,023,06023,7,25514,11094,18,13,44.7,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2005,2,Imperial County,06,025,06025,1,18810,8367,NA,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2005,2,Inyo County,06,027,06027,0,13900,7974,29.8,15.2,69.3,NA,NA,NA,NA,NA
Kern Sheriff's Department,2005,2,Kern County,06,029,06029,9,114450,94514,20,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2005,2,Kings County,06,031,06031,0,23523,14897,NA,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2005,2,Lake County,06,033,06033,NA,25985,17819,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2005,2,Lassen County,06,035,06035,0,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2005,2,Los Angeles County,06,037,06037,58,2727423,1460280,41.120000000000005,30.84,41.82,NA,NA,NA,NA,NA
Madera Corrections Department,2005,2,Madera County,06,039,06039,0,75852,54712,28,10,49,NA,NA,NA,NA,NA
Marin Sheriff's Department,2005,2,Marin County,06,041,06041,0,35994,24857,16.1,8,42.9,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2005,2,Mariposa County,06,043,06043,0,16598,7900,14,13,15,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2005,2,Mendocino County,06,045,06045,0,12174,3257,19,8,31,NA,NA,NA,NA,NA
Merced Sheriff's Department,2005,2,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2005,2,Modoc County,06,049,06049,2,5467,NA,7.1,7.1,32,NA,NA,NA,NA,NA
Mono Sheriff's Department,2005,2,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2005,2,Monterey County,06,053,06053,3,39625,19201,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2005,2,Napa County,06,055,06055,0,32000,23000,65,7,88,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2005,2,Nevada County,06,057,06057,NA,13796,5606,NA,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2005,2,Orange County,06,059,06059,18,640933,399798,34.7,1.4,37.9,NA,NA,NA,NA,NA
Santa Ana Police Department,2005,2,Orange County,06,059,06059,0,NA,NA,21,16,32,NA,NA,NA,NA,NA
Placer Sheriff's Department,2005,2,Placer County,06,061,06061,2,38924,16194,NA,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2005,2,Plumas County,06,063,06063,1,12845,9382,13.07,4.35,22,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2005,2,Riverside County,06,065,06065,40,458035,323819,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2005,2,Sacramento County,06,067,06067,9,447853,322651,38.6,NA,NA,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2005,2,San Benito County,06,069,06069,0,7851,5424,NA,18,93,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2005,2,San Bernardino County,06,071,06071,7,732022,380365,41,NA,NA,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2005,2,San Diego County,06,073,06073,15,775493,437029,19.9,11.3,67.7,NA,NA,NA,NA,NA
San Diego Work Furlough,2005,2,San Diego County,06,073,06073,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2005,2,San Francisco County,06,075,06075,18,446254,92500,NA,NA,NA,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2005,2,San Joaquin County,06,077,06077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2005,2,San Luis Obispo County,06,079,06079,0,83795,56166,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2005,2,San Mateo County,06,081,06081,2,90618,83772,15,14,20,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2005,2,Santa Barbara County,06,083,06083,1,104005,69831,24,8,53,NA,NA,NA,NA,NA
Santa Clara Probation Department,2005,2,Santa Clara County,06,085,06085,0,NA,NA,77.25,NA,77.25,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2005,2,Santa Clara County,06,085,06085,1,674562,414143,101,122,120,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2005,2,Santa Cruz County,06,087,06087,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2005,2,Shasta County,06,089,06089,5,45610,22410,12,13.6,102.2,NA,NA,NA,NA,NA
Sierra Sheriff's Department,2005,2,Sierra County,06,091,06091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2005,2,Siskiyou County,06,093,06093,0,NA,NA,23,29,21,NA,NA,NA,NA,NA
Solano Sheriff's Department,2005,2,Solano County,06,095,06095,5,111316,71800,21.4,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2005,2,Sonoma County,06,097,06097,14,102455,79833,25.6,7.2,58.5,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2005,2,Stanislaus County,06,099,06099,3,42235,20240,13,4,44,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2005,2,Sutter County,06,101,06101,0,42235,11390,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2005,2,Tehama County,06,103,06103,2,36497,11330,13.6,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2005,2,Trinity County,06,105,06105,0,NA,NA,24,4,63,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2005,2,Tulare County,06,107,06107,0,NA,NA,40.77,23.62,60.43,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2005,2,Tuolumne County,06,109,06109,0,4654,2241,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2005,2,Ventura County,06,111,06111,1,90141,47840,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2005,2,Ventura County,06,111,06111,0,436,0,62,NA,62,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2005,2,Yolo County,06,113,06113,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2005,2,Yuba County,06,115,06115,8,59608,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2005,1,Alameda County,06,001,06001,4,681350,456370,28.53,21.17,62.3,NA,NA,NA,NA,NA
Oakland Police Department,2005,1,Alameda County,06,001,06001,0,3454,237,2,2,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2005,1,Amador County,06,005,06005,0,6881,5316,25,8,82,NA,NA,NA,NA,NA
Butte Sheriff's Department,2005,1,Butte County,06,007,06007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2005,1,Calaveras County,06,009,06009,0,2804,1168,NA,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2005,1,Colusa County,06,011,06011,0,1309,1647,24,4,43,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2005,1,Contra Costa County,06,013,06013,9,146097,84299,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2005,1,Del Norte County,06,015,06015,0,16324,12961,9.05,5.8,30,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2005,1,El Dorado County,06,017,06017,1,NA,NA,16,3,50,NA,NA,NA,NA,NA
