jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
San Joaquin Sheriff's Department,2019,4,San Joaquin County,06,077,06077,NA,NA,NA,41,4,44,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2019,4,San Luis Obispo County,06,079,06079,1,132475,44096,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2019,4,San Mateo County,06,081,06081,15,440140,198054,26,8,63,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2019,4,Santa Barbara County,06,083,06083,NA,149539,29796,NA,NA,NA,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2019,4,Santa Clara County,06,085,06085,33,631231,203540,32,45,105,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2019,4,Santa Cruz County,06,087,06087,4,77335,11514,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2019,4,Shasta County,06,089,06089,4,73945,16937,NA,NA,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2019,4,Siskiyou County,06,093,06093,0,13345,11510,40,7,33,NA,NA,NA,NA,NA
Solano Sheriff's Department,2019,4,Solano County,06,095,06095,15,208572,29759,24.4,6,101.1,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2019,4,Sonoma County,06,097,06097,4,246553,91068,26,11,55,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2019,4,Stanislaus County,06,099,06099,1,163687,66621,25,8,77,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2019,4,Sutter County,06,101,06101,2,95605,65334,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2019,4,Tehama County,06,103,06103,0,47546,23244,23,NA,29,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2019,4,Trinity County,06,105,06105,0,9300,2800,NA,NA,NA,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2019,4,Tulare County,06,107,06107,9,309407,52380,29,21,75,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2019,4,Tuolumne County,06,109,06109,0,28318,2515,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2019,4,Ventura County,06,111,06111,13,225770,58558,NA,NA,NA,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2019,4,Yolo County,06,113,06113,5,76326,21644,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2019,4,Yuba County,06,115,06115,7,58147,14945,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2019,3,Alameda County,06,001,06001,23,370522,273442,23,19,62,NA,NA,NA,NA,NA
Amador Sheriff's Department,2019,3,Amador County,06,005,06005,1,49039,17232,22.64,3.58,53.839999999999996,NA,NA,NA,NA,NA
Butte Sheriff's Department,2019,3,Butte County,06,007,06007,0,67472,10879,11,5,28,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2019,3,Calaveras County,06,009,06009,0,8310,2095,NA,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2019,3,Colusa County,06,011,06011,0,4972,2482,15.49,4.51,47.86,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2019,3,Contra Costa County,06,013,06013,9,708274,371464,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2019,3,Del Norte County,06,015,06015,0,9636,4040,10.7,4.6,37.6,NA,NA,NA,NA,NA
