"","county","date","pretrial_release","sentenced_release"
"1241","Marin County",2013-01-01,11.3,38.3
"1242","Mariposa County",2013-01-01,7,50
"1243","Merced County",2013-01-01,41,34
"1244","Orange County",2013-01-01,1.3,47.1
"1245","Plumas County",2013-01-01,6.3,13.8
"1246","Riverside County",2013-01-01,23.95,35.52
"1247","San Benito County",2013-01-01,11,64
"1248","San Diego County",2013-01-01,9.1,63.7
"1249","San Joaquin County",2013-01-01,6,49
"1250","San Mateo County",2013-01-01,12,60
"1251","Santa Barbara County",2013-01-01,13,23
"1252","Santa Clara County",2013-01-01,40,93
"1253","Sierra County",2013-01-01,3,6
"1254","Siskiyou County",2013-01-01,6,29
"1255","Sonoma County",2013-01-01,5.2,53.3
"1256","Stanislaus County",2013-01-01,9,58
"1257","Trinity County",2013-01-01,7,29
"1258","Tulare County",2013-01-01,28.33,81.6
"1259","Amador County",2013-04-01,7.28,60.36
"1260","Colusa County",2013-04-01,6.959,26.798
"1261","Del Norte County",2013-04-01,18,22
"1262","El Dorado County",2013-04-01,9.9,66.4
"1263","Fresno County",2013-04-01,14,18
"1264","Glenn County",2013-04-01,12.7,55.3
"1265","Humboldt County",2013-04-01,5.48,46.03
"1266","Imperial County",2013-04-01,10,42
"1267","Inyo County",2013-04-01,5,46
"1268","Los Angeles County",2013-04-01,11.28,56.02
"1269","Madera County",2013-04-01,4,96
"1270","Mariposa County",2013-04-01,7.2,46.9
"1271","Merced County",2013-04-01,22,38
"1272","Orange County",2013-04-01,1.3,47.7
"1273","Plumas County",2013-04-01,6.1,13.9
"1274","Riverside County",2013-04-01,23.32,90.89
"1275","San Benito County",2013-04-01,8,59
"1276","San Diego County",2013-04-01,8.9,66.3
"1277","San Francisco County",2013-04-01,36,56
"1278","San Joaquin County",2013-04-01,4,63
"1279","San Mateo County",2013-04-01,12,57
"1280","Santa Barbara County",2013-04-01,13,21
"1281","Santa Clara County",2013-04-01,34,96
"1282","Sierra County",2013-04-01,11,6
"1283","Siskiyou County",2013-04-01,8,25
"1284","Sonoma County",2013-04-01,5.7,54.6
"1285","Stanislaus County",2013-04-01,9,45
"1286","Trinity County",2013-04-01,7,55
"1287","Tulare County",2013-04-01,25.91,85.16
"1288","Amador County",2013-07-01,6.32,55.84
"1289","Colusa County",2013-07-01,7.877,22.38
"1290","Del Norte County",2013-07-01,10,14
"1291","El Dorado County",2013-07-01,8.4,68.1
"1292","Fresno County",2013-07-01,13,14
"1293","Glenn County",2013-07-01,24.7,67.3
"1294","Humboldt County",2013-07-01,11,52
"1295","Imperial County",2013-07-01,10,47
"1296","Inyo County",2013-07-01,4,34
"1297","Los Angeles County",2013-07-01,8.78,54.4
"1298","Madera County",2013-07-01,5,96
"1299","Marin County",2013-07-01,16.9,38.3
"1300","Mariposa County",2013-07-01,5.9,46.8
"1301","Merced County",2013-07-01,18,37
"1302","Orange County",2013-07-01,1.3,44.7
"1303","Plumas County",2013-07-01,2.4,26.2
"1304","Riverside County",2013-07-01,21.92,57.06
"1305","San Benito County",2013-07-01,11,57
"1306","San Diego County",2013-07-01,10,68.1
"1307","San Joaquin County",2013-07-01,5,60
"1308","San Mateo County",2013-07-01,9,66
"1309","Santa Barbara County",2013-07-01,14,22
"1310","Santa Clara County",2013-07-01,37,96
"1311","Sierra County",2013-07-01,9,3
"1312","Siskiyou County",2013-07-01,6,31
"1313","Sonoma County",2013-07-01,4.9,55.8
"1314","Stanislaus County",2013-07-01,7,56
"1315","Trinity County",2013-07-01,8,82
"1316","Tulare County",2013-07-01,20.12,86.5
"1317","Amador County",2013-10-01,5.86,64.06
"1318","Colusa County",2013-10-01,6.703,22.671
"1319","El Dorado County",2013-10-01,8.4,77.5
"1320","Fresno County",2013-10-01,8,11
"1321","Glenn County",2013-10-01,18.6,68.5
"1322","Humboldt County",2013-10-01,6.9,52.7
"1323","Imperial County",2013-10-01,7,32
"1324","Inyo County",2013-10-01,5,63
"1325","Los Angeles County",2013-10-01,9.16,61.06
"1326","Madera County",2013-10-01,4,79
"1327","Marin County",2013-10-01,10,40
"1328","Mariposa County",2013-10-01,14.1,47.5
"1329","Merced County",2013-10-01,42,35
"1330","Orange County",2013-10-01,1.3,48.6
"1331","Plumas County",2013-10-01,8,35
"1332","Riverside County",2013-10-01,22.1,56.8
"1333","Sacramento County",2013-10-01,54,34
"1334","San Benito County",2013-10-01,8,64
"1335","San Diego County",2013-10-01,10.3,64.3
"1336","San Francisco County",2013-10-01,13,61
"1337","San Joaquin County",2013-10-01,6,66
"1338","San Mateo County",2013-10-01,9,71
"1339","Santa Barbara County",2013-10-01,14,23
"1340","Santa Clara County",2013-10-01,42,99
"1341","Sierra County",2013-10-01,4,1
"1342","Siskiyou County",2013-10-01,9,23
"1343","Sonoma County",2013-10-01,4.9,62
"1344","Stanislaus County",2013-10-01,8,45
"1345","Trinity County",2013-10-01,4,101
"1346","Tulare County",2013-10-01,33.33,95.95
"1347","Amador County",2014-01-01,6.45,55.67
"1348","Colusa County",2014-01-01,8.665,22.671
"1349","El Dorado County",2014-01-01,8.8,64.8
"1350","Fresno County",2014-01-01,16.4,22.8
"1351","Glenn County",2014-01-01,13.5,70.9
"1352","Humboldt County",2014-01-01,7,42.7
"1353","Imperial County",2014-01-01,10,31
"1354","Inyo County",2014-01-01,11,62
"1355","Kern County",2014-01-01,14,50
"1356","Los Angeles County",2014-01-01,7.24,59.88
"1357","Madera County",2014-01-01,9,139
"1358","Marin County",2014-01-01,13,37
"1359","Mariposa County",2014-01-01,14,52.3
"1360","Merced County",2014-01-01,45,37
"1361","Orange County",2014-01-01,1.3,49.4
"1362","Plumas County",2014-01-01,7.3,21.9
"1363","Riverside County",2014-01-01,20.67,67.61
"1364","Sacramento County",2014-01-01,27,61
"1365","San Benito County",2014-01-01,7,71
"1366","San Diego County",2014-01-01,11.4,67
"1367","San Francisco County",2014-01-01,10.21,70.75
"1368","San Joaquin County",2014-01-01,7,68
"1369","San Mateo County",2014-01-01,15,74
"1370","Santa Barbara County",2014-01-01,15,22
"1371","Santa Clara County",2014-01-01,44,99
"1372","Sierra County",2014-01-01,1,1
"1373","Siskiyou County",2014-01-01,11,26
"1374","Sonoma County",2014-01-01,4.3,68
"1375","Stanislaus County",2014-01-01,8,61
"1376","Trinity County",2014-01-01,17,76
"1377","Tulare County",2014-01-01,26.63,91.45
"1378","Amador County",2014-04-01,5.79,36.71
"1379","Colusa County",2014-04-01,8.901,26.337
"1380","Del Norte County",2014-04-01,3.1,37.8
"1381","El Dorado County",2014-04-01,9.4,65.5
"1382","Fresno County",2014-04-01,14.6,19.7
"1383","Glenn County",2014-04-01,15,45
"1384","Humboldt County",2014-04-01,5.8,48.9
"1385","Imperial County",2014-04-01,10,30
"1386","Inyo County",2014-04-01,5,57
"1387","Kern County",2014-04-01,16,52
"1388","Los Angeles County",2014-04-01,9.68,62.55
"1389","Madera County",2014-04-01,4,42
"1390","Marin County",2014-04-01,11,40
"1391","Mariposa County",2014-04-01,9.1,55.3
"1392","Merced County",2014-04-01,21,50
"1393","Orange County",2014-04-01,1.3,52.3
"1394","Plumas County",2014-04-01,13.8,38.3
"1395","Riverside County",2014-04-01,21.24,64.27
"1396","Sacramento County",2014-04-01,54,34
"1397","San Benito County",2014-04-01,7,62
"1398","San Diego County",2014-04-01,11.7,67.9
"1399","San Francisco County",2014-04-01,14,61
"1400","San Joaquin County",2014-04-01,5,71
"1401","San Mateo County",2014-04-01,8,68
"1402","Santa Barbara County",2014-04-01,14,22
"1403","Santa Clara County",2014-04-01,39,106
"1404","Sierra County",2014-04-01,4,1
"1405","Siskiyou County",2014-04-01,6,31
"1406","Sonoma County",2014-04-01,5.9,58.5
"1407","Stanislaus County",2014-04-01,10,47
"1408","Trinity County",2014-04-01,6,72
"1409","Tulare County",2014-04-01,38.88,95.83
"1410","Amador County",2014-07-01,8.01,52.26
"1411","Colusa County",2014-07-01,6.805,22.224
"1412","Del Norte County",2014-07-01,3.5,39.7
"1413","El Dorado County",2014-07-01,9.2,70.6
"1414","Fresno County",2014-07-01,19.6,20.1
"1415","Glenn County",2014-07-01,17,41
"1416","Humboldt County",2014-07-01,4.4,53.7
"1417","Imperial County",2014-07-01,12,35
"1418","Inyo County",2014-07-01,4,61
"1419","Kern County",2014-07-01,16,53
"1420","Los Angeles County",2014-07-01,5.67,62.81
"1421","Madera County",2014-07-01,7,88
"1422","Marin County",2014-07-01,14,39
"1423","Mariposa County",2014-07-01,9.8,43.8
"1424","Merced County",2014-07-01,19,43.9
"1425","Napa County",2014-07-01,11,37
"1426","Orange County",2014-07-01,1.2,51.3
"1427","Plumas County",2014-07-01,9.5,19.9
"1428","Riverside County",2014-07-01,23.42,62.58
"1429","Sacramento County",2014-07-01,60,34
"1430","San Benito County",2014-07-01,7,49
"1431","San Diego County",2014-07-01,12.2,68.1
"1432","San Francisco County",2014-07-01,12,54
"1433","San Joaquin County",2014-07-01,7,45
"1434","San Mateo County",2014-07-01,15,71
"1435","Santa Barbara County",2014-07-01,13,22
"1436","Santa Clara County",2014-07-01,36,103
"1437","Sierra County",2014-07-01,10,8
"1438","Siskiyou County",2014-07-01,5,25
"1439","Sonoma County",2014-07-01,7,54.9
"1440","Stanislaus County",2014-07-01,9,49
"1441","Trinity County",2014-07-01,30,37
"1442","Tulare County",2014-07-01,32.8,100.03
"1443","Amador County",2014-10-01,3.18,64.54
"1444","Colusa County",2014-10-01,8.813,25.231
"1445","Del Norte County",2014-10-01,4.1,41.4
"1446","El Dorado County",2014-10-01,10.1,76.7
"1447","Fresno County",2014-10-01,19.5,18
"1448","Glenn County",2014-10-01,15,48
"1449","Humboldt County",2014-10-01,6.9,50.1
"1450","Imperial County",2014-10-01,13,43
"1451","Inyo County",2014-10-01,3,53
"1452","Kern County",2014-10-01,18,59
"1453","Los Angeles County",2014-10-01,8.6,68.08
"1454","Madera County",2014-10-01,5,83
"1455","Marin County",2014-10-01,11,41
"1456","Mariposa County",2014-10-01,9,58.9
"1457","Merced County",2014-10-01,22.4,54.4
"1458","Napa County",2014-10-01,12,36
"1459","Orange County",2014-10-01,1.2,53
"1460","Riverside County",2014-10-01,25.6,58.6
"1461","Sacramento County",2014-10-01,27,59
"1462","San Benito County",2014-10-01,12,74
"1463","San Diego County",2014-10-01,13.6,71.2
"1464","San Francisco County",2014-10-01,11.4,76
"1465","San Joaquin County",2014-10-01,6,65
"1466","San Mateo County",2014-10-01,19,81
"1467","Santa Barbara County",2014-10-01,13,21
"1468","Santa Clara County",2014-10-01,41,112
"1469","Sierra County",2014-10-01,2,6
"1470","Siskiyou County",2014-10-01,4,33
"1471","Sonoma County",2014-10-01,5.3,58.2
"1472","Stanislaus County",2014-10-01,13,46
"1473","Trinity County",2014-10-01,11,90
"1474","Tulare County",2014-10-01,37.63,81.94
"1475","Amador County",2015-01-01,6.27,57.75
"1476","Colusa County",2015-01-01,7.407,29.088
"1477","Del Norte County",2015-01-01,3.9,33.7
"1478","El Dorado County",2015-01-01,12.8,77.7
"1479","Fresno County",2015-01-01,28,32.8
"1480","Glenn County",2015-01-01,19,43
"1481","Humboldt County",2015-01-01,6.2,37.5
"1482","Imperial County",2015-01-01,12,34
"1483","Inyo County",2015-01-01,3,61
"1484","Kern County",2015-01-01,17,63
"1485","Los Angeles County",2015-01-01,6.3,70.4
"1486","Madera County",2015-01-01,7,96
"1487","Marin County",2015-01-01,12.9,33.3
"1488","Mariposa County",2015-01-01,12.1,36
"1489","Merced County",2015-01-01,18.6,48.9
"1490","Napa County",2015-01-01,10,33
"1491","Orange County",2015-01-01,1.3,50
"1492","Plumas County",2015-01-01,14.9,12.4
"1493","Riverside County",2015-01-01,25.02,77.93
"1494","Sacramento County",2015-01-01,19.1,72.2
"1495","San Benito County",2015-01-01,6,76
"1496","San Diego County",2015-01-01,11,76.5
"1497","San Francisco County",2015-01-01,12,101.2
"1498","San Joaquin County",2015-01-01,5,63
"1499","San Mateo County",2015-01-01,22,72
"1500","Santa Barbara County",2015-01-01,13,20
"1501","Santa Clara County",2015-01-01,46,121
"1502","Sierra County",2015-01-01,1,1
"1503","Siskiyou County",2015-01-01,6,24
"1504","Sonoma County",2015-01-01,4.6,57.4
"1505","Stanislaus County",2015-01-01,11,84
"1506","Trinity County",2015-01-01,14,21
"1507","Tulare County",2015-01-01,42.69,95.49
"1508","Amador County",2015-04-01,7.08,55.41
"1509","Butte County",2015-04-01,4,25
"1510","Colusa County",2015-04-01,6.43,25.397
"1511","Del Norte County",2015-04-01,3.51,28.25
"1512","El Dorado County",2015-04-01,10.6,59.5
"1513","Fresno County",2015-04-01,23.2,25.7
"1514","Glenn County",2015-04-01,23,26
"1515","Humboldt County",2015-04-01,7.1,37.1
"1516","Imperial County",2015-04-01,10,22
"1517","Inyo County",2015-04-01,4,92
"1518","Kern County",2015-04-01,19,66
"1519","Los Angeles County",2015-04-01,8.7,66.9
"1520","Madera County",2015-04-01,8,104
"1521","Marin County",2015-04-01,11,30
"1522","Mariposa County",2015-04-01,10.1,28.5
"1523","Merced County",2015-04-01,12.9,51.1
"1524","Napa County",2015-04-01,13,27
"1525","Orange County",2015-04-01,1.3,45.3
"1526","Plumas County",2015-04-01,12.8,23.7
"1527","Riverside County",2015-04-01,29.08,76.64
"1528","Sacramento County",2015-04-01,30,60
"1529","San Benito County",2015-04-01,7,77
"1530","San Diego County",2015-04-01,10.3,72.9
"1531","San Francisco County",2015-04-01,11.3,79.1
"1532","San Joaquin County",2015-04-01,5,60
"1533","San Mateo County",2015-04-01,25,65
"1534","Santa Barbara County",2015-04-01,13,21
"1535","Santa Clara County",2015-04-01,47,101
"1536","Siskiyou County",2015-04-01,4,24
"1537","Sonoma County",2015-04-01,9.2,49.2
"1538","Stanislaus County",2015-04-01,11,72
"1539","Trinity County",2015-04-01,9,19
"1540","Tulare County",2015-04-01,33.1,77.97
"1541","Amador County",2015-07-01,4.39,46.76
"1542","Butte County",2015-07-01,5,29
"1543","Del Norte County",2015-07-01,6.4,36.6
"1544","El Dorado County",2015-07-01,10.3,72.6
"1545","Fresno County",2015-07-01,10.25,50.5
"1546","Humboldt County",2015-07-01,6,38.1
"1547","Imperial County",2015-07-01,10,19
"1548","Inyo County",2015-07-01,7,79
"1549","Kern County",2015-07-01,15,53
"1550","Los Angeles County",2015-07-01,6.72,64.25
"1551","Madera County",2015-07-01,7,71
"1552","Marin County",2015-07-01,12,35
"1553","Mariposa County",2015-07-01,5.8,32.7
"1554","Merced County",2015-07-01,14.8,38
"1555","Monterey County",2015-07-01,12.1,28.5
"1556","Napa County",2015-07-01,19,38
"1557","Orange County",2015-07-01,1.4,46.7
"1558","Plumas County",2015-07-01,8.9,14.1
"1559","Riverside County",2015-07-01,29.83,66.76
"1560","Sacramento County",2015-07-01,26,59
"1561","San Benito County",2015-07-01,6,60
"1562","San Diego County",2015-07-01,10,71.1
"1563","San Francisco County",2015-07-01,12,80
"1564","San Joaquin County",2015-07-01,5,59
"1565","San Mateo County",2015-07-01,6,68
"1566","Santa Barbara County",2015-07-01,12,21
"1567","Santa Clara County",2015-07-01,44,110
"1568","Siskiyou County",2015-07-01,5,23
"1569","Sonoma County",2015-07-01,8.6,55.9
"1570","Stanislaus County",2015-07-01,8,71
"1571","Trinity County",2015-07-01,7,78
"1572","Tulare County",2015-07-01,30.99,74.72
"1573","Amador County",2015-10-01,4.66,60.52
"1574","Butte County",2015-10-01,11,43
"1575","Colusa County",2015-10-01,7.69,36.66
"1576","Del Norte County",2015-10-01,5.5,45
"1577","El Dorado County",2015-10-01,11.8,64.2
"1578","Fresno County",2015-10-01,26.9,42.3
"1579","Humboldt County",2015-10-01,6.3,42.5
"1580","Imperial County",2015-10-01,7,36
"1581","Inyo County",2015-10-01,4,54
"1582","Kern County",2015-10-01,15,55
"1583","Los Angeles County",2015-10-01,22.11,64.11
"1584","Madera County",2015-10-01,6,87
"1585","Marin County",2015-10-01,12,39
"1586","Mariposa County",2015-10-01,11.3,24.5
"1587","Merced County",2015-10-01,27.3,45.1
"1588","Monterey County",2015-10-01,15.3,30.1
"1589","Napa County",2015-10-01,13,37
"1590","Orange County",2015-10-01,1.3,42.6
"1591","Plumas County",2015-10-01,14.8,9.9
"1592","Riverside County",2015-10-01,28.9,63.3
"1593","Sacramento County",2015-10-01,29,63
"1594","San Benito County",2015-10-01,9,58
"1595","San Diego County",2015-10-01,10.5,72.2
"1596","San Francisco County",2015-10-01,12.47,67.98
"1597","San Joaquin County",2015-10-01,6,47
"1598","San Mateo County",2015-10-01,6,67
"1599","Santa Barbara County",2015-10-01,14,21
"1600","Santa Clara County",2015-10-01,47,118
"1601","Siskiyou County",2015-10-01,5,30
"1602","Sonoma County",2015-10-01,7.7,51.6
"1603","Stanislaus County",2015-10-01,8,74
"1604","Trinity County",2015-10-01,12,191
"1605","Tulare County",2015-10-01,36.04,76.84
"1606","Amador County",2016-01-01,6.27,57.54
"1607","Butte County",2016-01-01,10,42
"1608","Colusa County",2016-01-01,9.83,55.09
"1609","Del Norte County",2016-01-01,5.5,48.9
"1610","El Dorado County",2016-01-01,9.3,65.1
"1611","Fresno County",2016-01-01,26.3,39
"1612","Glenn County",2016-01-01,13,46
"1613","Humboldt County",2016-01-01,6.9,38
"1614","Imperial County",2016-01-01,8,11
"1615","Inyo County",2016-01-01,10,68
"1616","Kern County",2016-01-01,17,69
"1617","Los Angeles County",2016-01-01,5.04,62.34
"1618","Madera County",2016-01-01,7,96
"1619","Marin County",2016-01-01,15,42
"1620","Mariposa County",2016-01-01,8.1,34.5
"1621","Merced County",2016-01-01,39.8,44.9
"1622","Monterey County",2016-01-01,18.4,30.6
"1623","Napa County",2016-01-01,15,43
"1624","Orange County",2016-01-01,1.3,48
"1625","Plumas County",2016-01-01,15.2,21.9
"1626","Riverside County",2016-01-01,33.6,55.2
"1627","Sacramento County",2016-01-01,36,62
"1628","San Benito County",2016-01-01,9,56
"1629","San Diego County",2016-01-01,11,74.8
"1630","San Diego County",2016-01-01,2.74,72.1
"1631","San Francisco County",2016-01-01,12.26,71.62
"1632","San Joaquin County",2016-01-01,7,56
"1633","San Mateo County",2016-01-01,6,71
"1634","Santa Barbara County",2016-01-01,14,21
"1635","Santa Clara County",2016-01-01,45,112
"1636","Siskiyou County",2016-01-01,5,21
"1637","Sonoma County",2016-01-01,15.9,48.7
"1638","Stanislaus County",2016-01-01,8,73
"1639","Trinity County",2016-01-01,7,23
"1640","Tulare County",2016-01-01,29,85.57
"1641","Amador County",2016-04-01,8.2,43.12
"1642","Butte County",2016-04-01,5,30
"1643","Colusa County",2016-04-01,6.81,53.94
"1644","Del Norte County",2016-04-01,6.23,40.14
"1645","El Dorado County",2016-04-01,12.7,57
"1646","Fresno County",2016-04-01,27.7,46.8
"1647","Glenn County",2016-04-01,15,42
"1648","Humboldt County",2016-04-01,7,39.9
"1649","Imperial County",2016-04-01,9,12
"1650","Inyo County",2016-04-01,3,57
"1651","Kern County",2016-04-01,14.3,66
"1652","Los Angeles County",2016-04-01,5.39,62.33
"1653","Madera County",2016-04-01,7,82
"1654","Marin County",2016-04-01,14,42
"1655","Mariposa County",2016-04-01,16.5,23.9
"1656","Merced County",2016-04-01,19.8,47.9
"1657","Monterey County",2016-04-01,15,31.5
"1658","Napa County",2016-04-01,13,35
"1659","Orange County",2016-04-01,1.4,44.9
"1660","Plumas County",2016-04-01,20.3,25.7
"1661","Riverside County",2016-04-01,28,54.5
"1662","Sacramento County",2016-04-01,29,60
"1663","San Benito County",2016-04-01,9,60
"1664","San Diego County",2016-04-01,11.5,68.2
"1665","San Diego County",2016-04-01,2.85,76.11
"1666","San Francisco County",2016-04-01,10.1,88.1
"1667","San Joaquin County",2016-04-01,7,57
"1668","San Mateo County",2016-04-01,5,64
"1669","Santa Barbara County",2016-04-01,14,22
"1670","Santa Clara County",2016-04-01,45,112
"1671","Siskiyou County",2016-04-01,4,26
"1672","Sonoma County",2016-04-01,25,47
"1673","Stanislaus County",2016-04-01,7,77
"1674","Trinity County",2016-04-01,10,59
"1675","Tulare County",2016-04-01,30.35,72.6
"1676","Amador County",2016-07-01,6,49.85
"1677","Butte County",2016-07-01,5,34
"1678","Colusa County",2016-07-01,15.27,66.06
"1679","Del Norte County",2016-07-01,6.1,47.9
"1680","El Dorado County",2016-07-01,11,56.3
"1681","Fresno County",2016-07-01,20.1,32.8
"1682","Glenn County",2016-07-01,16,44
"1683","Humboldt County",2016-07-01,7.6,40.8
"1684","Imperial County",2016-07-01,9,10
"1685","Inyo County",2016-07-01,4,63
"1686","Kern County",2016-07-01,15.3,60.6
"1687","Los Angeles County",2016-07-01,5.31,58.52
"1688","Madera County",2016-07-01,7,58
"1689","Marin County",2016-07-01,13,44
"1690","Mariposa County",2016-07-01,17.3,45.1
"1691","Merced County",2016-07-01,16.9,42.4
"1692","Monterey County",2016-07-01,14,33
"1693","Napa County",2016-07-01,11,55
"1694","Orange County",2016-07-01,1.3,47.5
"1695","Plumas County",2016-07-01,17.2,5
"1696","Riverside County",2016-07-01,25.7,45.1
"1697","Sacramento County",2016-07-01,26,57
"1698","San Benito County",2016-07-01,6,49
"1699","San Diego County",2016-07-01,11.6,67.9
"1700","San Diego County",2016-07-01,76.71,68.25
"1701","San Francisco County",2016-07-01,12,78
"1702","San Joaquin County",2016-07-01,6.5,42.8
"1703","San Mateo County",2016-07-01,5,69
"1704","Santa Barbara County",2016-07-01,14,20
"1705","Santa Clara County",2016-07-01,45,112
"1706","Siskiyou County",2016-07-01,7,32
"1707","Sonoma County",2016-07-01,32.5,47.6
"1708","Stanislaus County",2016-07-01,8,78
"1709","Trinity County",2016-07-01,10,56
"1710","Tulare County",2016-07-01,35.69,67.01
"1711","Amador County",2016-10-01,8.87,46.67
"1712","Butte County",2016-10-01,5,32
"1713","Colusa County",2016-10-01,9.84,62.07
"1714","Del Norte County",2016-10-01,7.02,40.06
"1715","El Dorado County",2016-10-01,15.6,59.3
"1716","Fresno County",2016-10-01,28.8,28.1
"1717","Glenn County",2016-10-01,19,36
"1718","Humboldt County",2016-10-01,7.2,43.2
"1719","Imperial County",2016-10-01,8,9
"1720","Inyo County",2016-10-01,4,41
"1721","Kern County",2016-10-01,18,55
"1722","Los Angeles County",2016-10-01,6.69,64.14
"1723","Madera County",2016-10-01,14,49
"1724","Marin County",2016-10-01,17,48
"1725","Mariposa County",2016-10-01,9.9,48.4
"1726","Merced County",2016-10-01,22.2,48.2
"1727","Monterey County",2016-10-01,17.5,37
"1728","Napa County",2016-10-01,23,23
"1729","Orange County",2016-10-01,1.3,49.2
"1730","Plumas County",2016-10-01,12.6,6.7
"1731","Sacramento County",2016-10-01,28,61
"1732","San Benito County",2016-10-01,7,58
"1733","San Diego County",2016-10-01,11.8,72.9
"1734","San Diego County",2016-10-01,67.5,84.26
"1735","San Francisco County",2016-10-01,11,75
"1736","San Joaquin County",2016-10-01,6,40
"1737","San Mateo County",2016-10-01,7,76
"1738","Santa Barbara County",2016-10-01,15,21
"1739","Santa Clara County",2016-10-01,50,99
"1740","Siskiyou County",2016-10-01,5,33
"1741","Sonoma County",2016-10-01,15,56
"1742","Stanislaus County",2016-10-01,9,64
"1743","Trinity County",2016-10-01,11,41
"1744","Tulare County",2016-10-01,30.35,72.6
"1745","Amador County",2017-01-01,6.4,61.4
"1746","Butte County",2017-01-01,9,54
"1747","Colusa County",2017-01-01,9.55,57.51
"1748","Del Norte County",2017-01-01,6.92,41.05
"1749","El Dorado County",2017-01-01,11.1,54.4
"1750","Fresno County",2017-01-01,26.7,27.2
"1751","Glenn County",2017-01-01,31,36
"1752","Humboldt County",2017-01-01,8.34,42.9
"1753","Inyo County",2017-01-01,4,43
"1754","Kern County",2017-01-01,16,60
"1755","Los Angeles County",2017-01-01,4.95,63
"1756","Madera County",2017-01-01,7,44
"1757","Marin County",2017-01-01,16,50
"1758","Mariposa County",2017-01-01,9.7,35.6
"1759","Merced County",2017-01-01,28.6,38.4
"1760","Monterey County",2017-01-01,22.5,34
"1761","Napa County",2017-01-01,24,21
"1762","Orange County",2017-01-01,1.3,50
"1763","Plumas County",2017-01-01,17.9,8.3
"1764","Riverside County",2017-01-01,4,66
"1765","Sacramento County",2017-01-01,27,60
"1766","San Benito County",2017-01-01,5,22
"1767","San Diego County",2017-01-01,12.2,74.2
"1768","San Diego County",2017-01-01,60.71,79.11
"1769","San Francisco County",2017-01-01,13,82
"1770","San Joaquin County",2017-01-01,7,53
"1771","San Mateo County",2017-01-01,6,71
"1772","Santa Barbara County",2017-01-01,14,20
"1773","Santa Clara County",2017-01-01,59,97
"1774","Siskiyou County",2017-01-01,5,33
"1775","Sonoma County",2017-01-01,46,56
"1776","Stanislaus County",2017-01-01,9,75
"1777","Trinity County",2017-01-01,7,20
"1778","Tulare County",2017-01-01,28.48,83.28
"1779","Alameda County",2017-04-01,18,54
"1780","Amador County",2017-04-01,5.21,47
"1781","Butte County",2017-04-01,9,20
"1782","Colusa County",2017-04-01,9.81,54.33
"1783","Del Norte County",2017-04-01,8.23,35.32
"1784","El Dorado County",2017-04-01,7.3,67.8
"1785","Fresno County",2017-04-01,26.6,33.8
"1786","Glenn County",2017-04-01,45,41
"1787","Humboldt County",2017-04-01,8.19,43.97
"1788","Imperial County",2017-04-01,9,9
"1789","Kern County",2017-04-01,17,60
"1790","Los Angeles County",2017-04-01,5.28,63.45
"1791","Madera County",2017-04-01,10,47
"1792","Marin County",2017-04-01,18,53
"1793","Merced County",2017-04-01,28.6,41.3
"1794","Monterey County",2017-04-01,20.9,31.6
"1795","Napa County",2017-04-01,19,18
"1796","Orange County",2017-04-01,1.4,46.6
"1797","Plumas County",2017-04-01,7.4,32.8
"1798","Sacramento County",2017-04-01,25,66
"1799","San Benito County",2017-04-01,8,35
"1800","San Diego County",2017-04-01,12,79
"1801","San Francisco County",2017-04-01,14.41,81.62
"1802","San Joaquin County",2017-04-01,6,49
"1803","San Mateo County",2017-04-01,6,76
"1804","Santa Barbara County",2017-04-01,15,20
"1805","Siskiyou County",2017-04-01,4,33
"1806","Sonoma County",2017-04-01,13.7,56.9
"1807","Stanislaus County",2017-04-01,6,81
"1808","Trinity County",2017-04-01,9,33
"1809","Tulare County",2017-04-01,26.34,74.02
"1810","Alameda County",2017-07-01,20,56
"1811","Amador County",2017-07-01,3.9,61.5
"1812","Butte County",2017-07-01,4,28
"1813","Colusa County",2017-07-01,12.65,65.65
"1814","Del Norte County",2017-07-01,6.27,43.5
"1815","El Dorado County",2017-07-01,13.7,71.9
"1816","Fresno County",2017-07-01,46.7,35.9
"1817","Glenn County",2017-07-01,50,47
"1818","Humboldt County",2017-07-01,7.28,44.39
"1819","Imperial County",2017-07-01,9,9
"1820","Kern County",2017-07-01,16.5,54.6
"1821","Los Angeles County",2017-07-01,5.18,60.58
"1822","Madera County",2017-07-01,7,44
"1823","Marin County",2017-07-01,14,47
"1824","Merced County",2017-07-01,31.8,41.9
"1825","Monterey County",2017-07-01,17.6,35.4
"1826","Napa County",2017-07-01,21,19
"1827","Orange County",2017-07-01,1.3,46.6
"1828","Plumas County",2017-07-01,12.3,15.4
"1829","Sacramento County",2017-07-01,25,64
"1830","San Benito County",2017-07-01,7,40.9
"1831","San Diego County",2017-07-01,11.9,77.6
"1832","San Francisco County",2017-07-01,11.43,75.88
"1833","San Joaquin County",2017-07-01,8,52
"1834","San Mateo County",2017-07-01,7,69
"1835","Santa Barbara County",2017-07-01,15,20
"1836","Santa Clara County",2017-07-01,48,105
"1837","Siskiyou County",2017-07-01,5,22
"1838","Sonoma County",2017-07-01,11,52
"1839","Stanislaus County",2017-07-01,7,76
"1840","Trinity County",2017-07-01,5,45
"1841","Tulare County",2017-07-01,13,85
"1842","Alameda County",2017-10-01,18,55
"1843","Amador County",2017-10-01,3.2,64
