"","county","date","pretrial_release","sentenced_release"
"325","San Mateo County",2004-10-01,17,22
"326","Santa Barbara County",2004-10-01,7,46
"327","Santa Clara County",2004-10-01,133,71
"328","Shasta County",2004-10-01,2,27
"329","Siskiyou County",2004-10-01,34,17
"330","Sonoma County",2004-10-01,7.5,63.1
"331","Stanislaus County",2004-10-01,14,52
"332","Trinity County",2004-10-01,3,25
"333","Tulare County",2004-10-01,27.81,77.88
"334","Alameda County",2005-01-01,21.17,62.3
"335","Amador County",2005-01-01,8,82
"336","Colusa County",2005-01-01,4,43
"337","Del Norte County",2005-01-01,5.8,30
"338","El Dorado County",2005-01-01,3,50
"339","Fresno County",2005-01-01,22.39,87.63
"340","Glenn County",2005-01-01,9,20
"341","Humboldt County",2005-01-01,12,39.85
"342","Los Angeles County",2005-01-01,39.37,42.85
"343","Madera County",2005-01-01,10.5,48
"344","Marin County",2005-01-01,8,38
"345","Mariposa County",2005-01-01,14,13
"346","Mendocino County",2005-01-01,13,29
"347","Modoc County",2005-01-01,5.5,24
"348","Napa County",2005-01-01,19,92
"349","Orange County",2005-01-01,1.35,38.85
"350","Orange County",2005-01-01,14.5,30
"351","Plumas County",2005-01-01,5,22
"352","San Diego County",2005-01-01,8.1,70.9
"353","San Mateo County",2005-01-01,14,20
"354","Santa Barbara County",2005-01-01,9,41
"355","Santa Clara County",2005-01-01,127,95
"356","Shasta County",2005-01-01,8.4,54.7
"357","Siskiyou County",2005-01-01,31,19
"358","Sonoma County",2005-01-01,7.1,57.5
"359","Stanislaus County",2005-01-01,9,48
"360","Trinity County",2005-01-01,3,61
"361","Tulare County",2005-01-01,32.64,69.7
"362","Alameda County",2005-04-01,22.68,63.05
"363","Amador County",2005-04-01,12,86
"364","Colusa County",2005-04-01,3,43
"365","Del Norte County",2005-04-01,6.5,32
"366","El Dorado County",2005-04-01,2,52
"367","Fresno County",2005-04-01,22.77,95.85
"368","Glenn County",2005-04-01,10,24
"369","Humboldt County",2005-04-01,13,44.7
"370","Inyo County",2005-04-01,15.2,69.3
"371","Los Angeles County",2005-04-01,30.84,41.82
"372","Madera County",2005-04-01,10,49
"373","Marin County",2005-04-01,8,42.9
"374","Mariposa County",2005-04-01,13,15
"375","Mendocino County",2005-04-01,8,31
"376","Modoc County",2005-04-01,7.1,32
"377","Napa County",2005-04-01,7,88
"378","Orange County",2005-04-01,1.4,37.9
"379","Orange County",2005-04-01,16,32
"380","Plumas County",2005-04-01,4.35,22
"381","San Benito County",2005-04-01,18,93
"382","San Diego County",2005-04-01,11.3,67.7
"383","San Mateo County",2005-04-01,14,20
"384","Santa Barbara County",2005-04-01,8,53
"385","Santa Clara County",2005-04-01,122,120
"386","Shasta County",2005-04-01,13.6,102.2
"387","Siskiyou County",2005-04-01,29,21
"388","Sonoma County",2005-04-01,7.2,58.5
"389","Stanislaus County",2005-04-01,4,44
"390","Trinity County",2005-04-01,4,63
"391","Tulare County",2005-04-01,23.62,60.43
"392","Alameda County",2005-07-01,24.05,63.01
"393","Amador County",2005-07-01,13,72
"394","Colusa County",2005-07-01,3,35
"395","Del Norte County",2005-07-01,9,21
"396","El Dorado County",2005-07-01,3,54
"397","Fresno County",2005-07-01,20.17,81.24
"398","Glenn County",2005-07-01,8,25
"399","Humboldt County",2005-07-01,12.74,44.01
"400","Inyo County",2005-07-01,21,45
"401","Los Angeles County",2005-07-01,38.78,44.72
"402","Madera County",2005-07-01,7,55
"403","Marin County",2005-07-01,8,44.3
"404","Mariposa County",2005-07-01,14,14
"405","Mendocino County",2005-07-01,12,34
"406","Modoc County",2005-07-01,6.5,35
"407","Napa County",2005-07-01,26,41
"408","Orange County",2005-07-01,1.2,40.9
"409","Orange County",2005-07-01,10,30
"410","Plumas County",2005-07-01,2.39,20.21
"411","San Benito County",2005-07-01,23,85
"412","San Diego County",2005-07-01,11,69.3
"413","San Joaquin County",2005-07-01,113,62
"414","San Mateo County",2005-07-01,13,22
"415","Santa Barbara County",2005-07-01,11,60
"416","Santa Clara County",2005-07-01,125,122
"417","Shasta County",2005-07-01,13.5,217.8
"418","Siskiyou County",2005-07-01,19,22
"419","Sonoma County",2005-07-01,5.8,55.3
"420","Stanislaus County",2005-07-01,4,45
"421","Trinity County",2005-07-01,3,50
"422","Tulare County",2005-07-01,24.1,63.88
"423","Alameda County",2005-10-01,23.78,63.02
"424","Amador County",2005-10-01,14,87
"425","Colusa County",2005-10-01,5,25.5
"426","Del Norte County",2005-10-01,6.5,33
"427","El Dorado County",2005-10-01,3.4,46.3
"428","Fresno County",2005-10-01,20.2,81.27
"429","Glenn County",2005-10-01,9,25
"430","Humboldt County",2005-10-01,12.92,41.54
"431","Inyo County",2005-10-01,31,45
"432","Los Angeles County",2005-10-01,52.36,45.42
"433","Madera County",2005-10-01,6,54
"434","Marin County",2005-10-01,11.75,45.6
"435","Mariposa County",2005-10-01,14,18
"436","Mendocino County",2005-10-01,10,51
"437","Modoc County",2005-10-01,1.6,8.2
"438","Napa County",2005-10-01,6.87,13
"439","Orange County",2005-10-01,1.3,36.1
"440","Orange County",2005-10-01,17,31
"441","Plumas County",2005-10-01,3.39,19.44
"442","San Benito County",2005-10-01,26,90
"443","San Diego County",2005-10-01,6,76
"444","San Joaquin County",2005-10-01,60,16
"445","San Mateo County",2005-10-01,8,21
"446","Santa Barbara County",2005-10-01,11,53
"447","Santa Clara County",2005-10-01,135,123
"448","Shasta County",2005-10-01,24.8,244.9
"449","Siskiyou County",2005-10-01,11,19
"450","Sonoma County",2005-10-01,7.7,53.5
"451","Stanislaus County",2005-10-01,6,80
"452","Trinity County",2005-10-01,3,46
"453","Tulare County",2005-10-01,25.01,52.28
"454","Alameda County",2006-01-01,22.03,61.02
"455","Amador County",2006-01-01,16,82
"456","Colusa County",2006-01-01,6.81,16.17
"457","Del Norte County",2006-01-01,9.1,24.4
"458","El Dorado County",2006-01-01,3.2,60.1
